Rank,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
124,Kyle Anderson,MIN,F,122.9,127.55,135.17,126.4,102.5,-,0.53,,,21
125,Mo Bamba,PHI,C,123.4,139.88,118.89,110.4,124.6,-,0.04,,,21
126,Malik Beasley,MIL,G,123.5,124.95,99.54,139.2,130.3,-,0.5,,,21
127,Dillon Brooks,HOU,F,124.0,134.7,118.29,132.9,110,-,0.46,,,21
128,Brandon Clarke,MEM,F,124.1,105.65,-,113.7,152.8,-,1.27,,,21
129,Cole Anthony,ORL,G,125.7,139.97,90.04,129.7,143.2,-,0.06,,,21
129,Thaddeus Young,TOR,F,125.7,95.57,105.92,-,175.6,-,1.5,,,21
131,Victor Oladipo,OKC,G,126.0,77.3,129.56,136.8,160.4,-,5.18,,,21
132,Larry Nance,NOP,F,126.6,100.97,135.99,132,137.3,-,1.52,,,21
133,Brook Lopez,MIL,C,127.5,137.79,130.81,97.2,144.3,-,0.11,,,21
134,Rui Hachimura,LAL,F,127.9,136.95,113.54,134.6,126.7,-,0.18,,,21
135,De'Andre Hunter,ATL,F,128.0,138.85,111.44,143.5,118.4,-,0.07,,,21
136,Will Barton,FA,F,128.2,138.28,106.7,131,136.7,-,0.12,,,21
137,Darius Bazley,BKN,F,128.4,140.11,131.22,-,113.9,-,0.07,,,21
138,Jae'Sean Tate,HOU,F,129.7,139.65,118.21,143.4,117.5,-,0.02,,,21
139,T.J. Warren,FA,F,130.5,139.33,94.71,139,148.8,-,-1.0,,,21
140,Daniel Gafford,WAS,C,131.5,139.99,136.73,145.5,103.6,-,-1.0,,,21
141,Joe Ingles,ORL,F,132.4,122.82,124.02,150.8,131.8,-,0.59,,,21
142,Joe Harris,DET,G,132.5,121.85,125.66,142.7,139.6,-,0.54,,,21
143,Mason Plumlee,LAC,C,132.6,92.64,138.7,147.5,151.6,-,2.77,,,21
144,Kelly Olynyk,UTA,C,133.1,139.77,128.83,130.4,133.5,-,0.07,,,21
145,Gary Trent,TOR,G,134.4,139.13,136.1,123.7,138.6,-,0.07,,,21
146,Blake Griffin,FA,C,135.0,132.51,92.75,-,179.6,-,0.19,,,21
147,Marvin Bagley,DET,C,135.5,139.41,108.86,130.4,163.2,-,0.11,,,21
148,Marcus Morris,LAC,F,135.8,139.82,132.72,136.3,134.2,-,0.07,,,21
149,Desmond Bane,MEM,G,136.1,139.87,153.08,62.1,189.3,-,-1.0,,,21
150,Herbert Jones,NOP,F,136.3,-,-,136.3,-,-,-1.0,,,21
150,LaMarcus Aldridge,FA,C,136.3,137.58,91.43,-,179.8,-,0.15,,,21
152,Gary Payton,GSW,G,136.7,139.95,-,133.4,-,-,-1.0,,,21
153,Jonathan Isaac,ORL,F,136.9,139.98,135.12,132,140.6,-,-1.0,,,21
154,Jalen Brunson,NYK,G,137.1,140.04,-,95.6,175.8,-,0.11,,,21
154,Alperen Sengun,HOU,C,137.1,-,136.44,121.8,153.2,-,-1.0,,,21
156,Otto Porter,TOR,F,137.2,130.55,150.58,108.3,159.3,-,0.48,,,21
157,Precious Achiuwa,TOR,C,137.3,139.85,-,141.4,130.6,-,-1.0,,,21
158,Tacko Fall,FA,C,137.4,137.35,-,-,-,-,0.02,,,21
159,Ivica Zubac,LAC,C,137.8,139.13,146.57,110.9,154.7,-,0.11,,,21
160,Ayo Dosunmu,CHI,G,138.3,-,-,138.3,-,-,-1.0,,,21
160,Derrick Rose,MEM,G,138.3,129.83,133.81,138.5,151.1,-,0.43,,,21
162,Ricky Rubio,CLE,G,138.5,133.73,147.99,121,151.2,-,0.15,,,21
163,Damian Jones,CLE,C,138.7,139.93,-,137.4,-,-,-1.0,,,21
164,Dwyane Wade,FA,G,139.1,139.14,-,-,-,-,0.02,,,21
165,Paul Zipser,FA,F,139.3,139.25,-,-,-,-,-1.0,,,21
166,Dirk Nowitzki,FA,F,139.4,139.38,-,-,-,-,0.02,,,21
167,Metta World Peace,FA,F,139.5,139.49,-,-,-,-,0.01,,,21
167,Stephen Zimmerman,FA,C,139.5,139.45,-,-,-,-,-1.0,,,21
169,Isaiah Hartenstein,NYK,C,139.6,139.95,-,139.3,-,-,-1.0,,,21
169,Isaac Bonga,FA,F,139.6,139.6,-,-,-,-,-1.0,,,21
169,Vince Carter,FA,F,139.6,139.55,-,-,-,-,0.01,,,21
169,Kevin Garnett,FA,F,139.6,139.62,-,-,-,-,-1.0,,,21
169,Boban Marjanovic,FA,C,139.6,139.59,-,-,-,-,0.05,,,21
174,Rade Zagorac,FA,F,139.7,139.69,-,-,-,-,-1.0,,,21
174,Derrick Jones,DAL,F,139.7,139.66,-,-,-,-,0.07,,,21
174,Robin Lopez,MIL,C,139.7,139.73,-,-,-,-,-1.0,,,21
174,Wang Zhelin,FA,C,139.7,139.69,-,-,-,-,-1.0,,,21
174,Jeff Teague,FA,G,139.7,139.65,-,-,-,-,-1.0,,,21
174,Dwayne Bacon,FA,F,139.7,139.73,-,-,-,-,0.02,,,21
174,Patric Young,FA,C,139.7,139.71,-,-,-,-,-1.0,,,21
174,Brandan Wright,FA,C,139.7,139.73,-,-,-,-,-1.0,,,21
174,Meyers Leonard,FA,C,139.7,139.72,-,-,-,-,0.01,,,21
174,Furkan Korkmaz,PHI,G,139.7,139.71,-,-,-,-,-1.0,,,21
174,Tony Wroten,FA,G,139.7,139.72,-,-,-,-,-1.0,,,21
174,James Young,FA,G,139.7,139.72,-,-,-,-,0.01,,,21
174,Rodney Hood,FA,G,139.7,139.72,-,-,-,-,-1.0,,,21
174,Cristiano Felicio,FA,C,139.7,139.68,-,-,-,-,-1.0,,,21
188,Joel Anthony,FA,C,139.8,139.75,-,-,-,-,-1.0,,,21
188,Kyle O'Quinn,FA,C,139.8,139.78,-,-,-,-,-1.0,,,21
