Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
Khris Middleton,MIL,F,38.1,35.43,38.36,43.2,35.3,-,22.0,,,21
Donovan Mitchell,CLE,G,27.7,35.81,27.14,22.5,25.2,-,16.81,,,21
Jaylen Brown,BOS,F,33.9,35.91,37.69,33,29.1,-,19.72,,,21
Pascal Siakam,TOR,F,44,40.18,53.12,36.7,46.1,-,15.17,,,21
Fred VanVleet,HOU,G,37.2,40.24,43.48,28.2,36.8,-,18.68,,,21
Anthony Davis,LAL,C,22.7,40.26,13.5,18.4,18.6,-,17.61,,,21
Christian Wood,FA,C,43.2,40.47,32.6,55.9,43.9,-,18.15,,,21
Jamal Murray,DEN,G,83.7,42.7,96.76,72.4,122.9,-,15.9,,,21
Malcolm Brogdon,BOS,G,55.2,43.48,50.9,69.3,57.3,-,19.86,,,21
Tobias Harris,PHI,F,48.4,44.92,47.05,62.6,39,-,13.07,,,21
Ja Morant,MEM,G,26.9,46.2,20.72,13.1,27.5,-,12.54,,,21
CJ McCollum,NOP,G,47.1,47.13,46.76,47.1,47.6,-,11.63,,,21
Jrue Holiday,MIL,G,43.1,47.46,36.27,45.4,43.2,-,16.16,,,21
Kyle Lowry,MIA,G,64.1,50.83,55.81,85,64.8,-,11.87,,,21
Clint Capela,ATL,C,52.6,53.02,39.38,74.2,43.7,-,11.63,,,21
Gordon Hayward,CHA,F,70.6,53.35,72.63,90.2,66.1,-,11.02,,,21
Deandre Ayton,PHO,C,41,53.39,39.31,35,36.4,-,9.59,,,21
Kristaps Porzingis,BOS,F,51.1,54.69,44.78,47.9,57.1,-,9.48,,,21
Myles Turner,IND,C,66.5,61.51,68.1,58.8,77.4,-,8.87,,,21
John Collins,UTA,F,56.2,62.58,50.51,63.4,48.4,-,7.17,,,21
Jerami Grant,POR,F,65.5,66.9,61.32,80.1,53.8,-,7.27,,,21
LaMelo Ball,CHA,G,30.2,67.88,21.52,10.8,20.7,-,7.96,,,21
Mike Conley,MIN,G,83.3,72.46,70.23,101.6,88.8,-,7.31,,,21
Dejounte Murray,ATL,G,46.3,72.96,47.61,27.2,37.4,-,7.62,,,21
Draymond Green,GSW,F,69.1,74.85,63.72,71,66.8,-,4.89,,,21
John Wall,FA,G,116.1,75.25,128.48,120.5,140,-,5.25,,,21
Jarrett Allen,CLE,C,70.6,76.23,79.7,53.6,73,-,5.69,,,21
Lonzo Ball,CHI,G,62.7,76.6,60.58,58.5,55.1,-,6.44,,,21
Jonas Valanciunas,NOP,C,59.3,77.07,55.57,49.3,55.1,-,5.0,,,21
Collin Sexton,UTA,G,72.7,77.27,63.13,88.1,62.2,-,5.66,,,21
Victor Oladipo,OKC,G,126,77.3,129.56,136.8,160.4,-,5.18,,,21
Terry Rozier,CHA,G,68.5,77.36,70.09,65.1,61.4,-,5.22,,,21
Michael Porter,DEN,F,55,78.46,43.01,62.2,36.4,-,4.32,,,21
Kelly Oubre,FA,F,118.6,78.85,130.58,143.9,120.9,-,3.47,,,21
Al Horford,BOS,C,108.5,80.81,111.63,84.8,156.7,-,5.02,,,21
Richaun Holmes,DAL,C,87.2,82.77,82.21,100.9,82.8,-,4.04,,,21
Andrew Wiggins,GSW,F,74.8,83.35,80.08,68.7,67.2,-,2.4,,,21
Kemba Walker,FA,G,94.7,85.23,67.68,146.4,79.3,-,3.72,,,21
Tyrese Haliburton,IND,G,65.6,86.43,73.51,27.1,75.2,-,3.77,,,21
Caris LeVert,CLE,G,78.7,87.03,62.05,104.4,61.2,-,2.76,,,21
D'Angelo Russell,LAL,G,63.1,90,41.51,66.3,54.5,-,2.63,,,21
Montrezl Harrell,PHI,C,116.6,91.02,120.25,134.2,121,-,2.7,,,21
Chris Boucher,TOR,F,114,91.39,122.69,123.2,118.8,-,2.16,,,21
Andre Drummond,CHI,C,105.1,92.01,96.76,135,96.8,-,2.25,,,21
Marcus Smart,MEM,G,93.3,92.06,108.62,77.1,95.4,-,2.42,,,21
Mason Plumlee,LAC,C,132.6,92.64,138.7,147.5,151.6,-,2.77,,,21
Harrison Barnes,SAC,F,97.6,93.56,96.2,110.2,90.4,-,2.12,,,21
Tyler Herro,MIA,G,88,93.59,96.77,70.4,91.3,-,2.02,,,21
Thaddeus Young,TOR,F,125.7,95.57,105.92,-,175.6,-,1.5,,,21
Mikal Bridges,BKN,F,88.3,95.62,105.58,76.7,75.1,-,1.81,,,21
Robert Covington,LAC,F,102,98.16,111.23,104.4,94.2,-,1.19,,,21
Larry Nance,NOP,F,126.6,100.97,135.99,132,137.3,-,1.52,,,21
Evan Fournier,NYK,G,119.3,101.44,110.06,138.1,127.5,-,1.54,,,21
Darius Garland,CLE,G,70.5,101.75,75.81,29.9,74.7,-,1.51,,,21
Jordan Clarkson,UTA,G,106.1,103.44,98.28,121.3,101.5,-,1.27,,,21
Devonte' Graham,SAS,G,112.9,103.84,102.87,138.5,106.2,-,1.24,,,21
P.J. Washington,CHA,F,107.5,104.91,104.15,109.4,111.4,-,1.15,,,21
Brandon Clarke,MEM,F,124.1,105.65,-,113.7,152.8,-,1.27,,,21
Buddy Hield,IND,G,88.6,106.96,77.03,85.2,85.2,-,0.76,,,21
Steven Adams,MEM,C,113.2,109.03,91.01,140.6,112,-,0.92,,,21
Enes Freedom,FA,C,150.4,109.36,-,-,191.5,-,1.33,,,21
Coby White,CHI,G,146.4,110.42,-,-,182.3,-,0.98,,,21
Eric Bledsoe,FA,G,122.6,111.36,130.6,-,125.8,-,0.93,,,21
Anthony Edwards,MIN,G,54.6,111.5,39.28,33.5,34.2,-,0.72,,,21
Dennis Schroder,TOR,G,115.2,112.12,93.9,146,108.9,-,1.09,,,21
Aaron Gordon,DEN,F,103.8,113.5,81.98,139.3,80.4,-,1.0,,,21
Norman Powell,LAC,G,109.6,113.61,111.7,97.1,115.8,-,1.29,,,21
DeMarcus Cousins,FA,C,153.8,115.76,-,-,191.8,-,0.91,,,21
RJ Barrett,NYK,F,80.5,116.79,63.83,82.3,59.1,-,0.61,,,21
Mitchell Robinson,NYK,C,116.9,118.33,128.8,88.7,131.7,-,0.74,,,21
OG Anunoby,TOR,F,75.8,118.47,81.02,51.8,52.1,-,0.53,,,21
Wendell Carter,ORL,C,109.8,119.7,100.03,90.7,128.7,-,0.92,,,21
Serge Ibaka,FA,C,140.6,120.47,147.61,108.8,185.5,-,0.8,,,21
Kendrick Nunn,FA,G,155.9,120.98,-,-,190.9,-,0.89,,,21
Joe Harris,DET,G,132.5,121.85,125.66,142.7,139.6,-,0.54,,,21
Jusuf Nurkic,POR,C,75.6,122,60.6,69.6,50.2,-,0.63,,,21
Joe Ingles,ORL,F,132.4,122.82,124.02,150.8,131.8,-,0.59,,,21
Kevin Huerter,SAC,G,141.6,123.12,153.33,149,141,-,0.8,,,21
Keldon Johnson,SAS,F,94.4,124.49,76.36,104.8,71.9,-,0.67,,,21
Malik Beasley,MIL,G,123.5,124.95,99.54,139.2,130.3,-,0.5,,,21
Lauri Markkanen,UTA,F,111.3,126.84,87.84,117.8,112.8,-,0.56,,,21
Delon Wright,WAS,G,159.4,126.97,-,-,191.9,-,0.45,,,21
Kyle Anderson,MIN,F,122.9,127.55,135.17,126.4,102.5,-,0.53,,,21
Donte DiVincenzo,NYK,G,151.1,129.4,-,136.8,187.1,-,0.8,,,21
Derrick Rose,MEM,G,138.3,129.83,133.81,138.5,151.1,-,0.43,,,21
DeAndre Jordan,DEN,C,160.5,129.91,-,-,191,-,0.54,,,21
Carmelo Anthony,FA,F,150.2,130.13,153.11,133.3,184.3,-,0.23,,,21
Otto Porter,TOR,F,137.2,130.55,150.58,108.3,159.3,-,0.48,,,21
Bojan Bogdanovic,DET,F,110.3,131.1,91.14,121,98.1,-,0.48,,,21
Tim Hardaway,DAL,G,121,131.37,111.03,136.5,105,-,0.54,,,21
T.J. McConnell,IND,G,147.8,131.42,150.17,147.3,162.2,-,0.54,,,21
Blake Griffin,FA,C,135,132.51,92.75,-,179.6,-,0.19,,,21
Josh Richardson,MIA,G,150.3,133.56,-,-,167,-,0.52,,,21
Ricky Rubio,CLE,G,138.5,133.73,147.99,121,151.2,-,0.15,,,21
Robert Williams,BOS,C,93.7,134.29,111.83,36.3,92.3,-,0.46,,,21
Seth Curry,DAL,G,148,134.56,146.42,139.9,171,-,0.17,,,21
Dillon Brooks,HOU,F,124,134.7,118.29,132.9,110,-,0.46,,,21
Derrick White,BOS,G,105.4,134.7,81.87,120.4,84.5,-,0.45,,,21
Kyle Kuzma,WAS,F,103.6,135.08,93.35,101.9,84.2,-,0.58,,,21
James Wiseman,DET,C,143.4,135.21,139.03,131.7,167.5,-,0.28,,,21
Kevin Porter,HOU,G,91.5,135.46,78.63,103.4,48.7,-,0.15,,,21
Lou Williams,FA,G,163.7,135.49,-,-,191.9,-,0.13,,,21
Terrence Ross,FA,F,150.1,136.24,130.38,-,183.7,-,0.41,,,21
Justin Holiday,DEN,F,164.1,136.49,-,-,191.8,-,0.41,,,21
Miles Bridges,CHA,F,104,136.63,113.25,78.9,87.1,-,0.12,,,21
Hassan Whiteside,FA,C,152.6,136.91,145.02,138.9,189.7,-,0.04,,,21
Rui Hachimura,LAL,F,127.9,136.95,113.54,134.6,126.7,-,0.18,,,21
Tacko Fall,FA,C,137.4,137.35,-,-,-,-,0.02,,,21
LaMarcus Aldridge,FA,C,136.3,137.58,91.43,-,179.8,-,0.15,,,21
Brook Lopez,MIL,C,127.5,137.79,130.81,97.2,144.3,-,0.11,,,21
Danny Green,FA,G,163.5,137.92,-,-,189,-,0.09,,,21
Danilo Gallinari,WAS,F,148.8,138.25,123.68,143.3,189.8,-,0.09,,,21
Will Barton,FA,F,128.2,138.28,106.7,131,136.7,-,0.12,,,21
Bobby Portis,MIL,F,145,138.36,139.19,117.1,185.3,-,0.28,,,21
Nicolas Batum,LAC,F,161.8,138.41,155.27,-,191.6,-,0.36,,,21
Alex Caruso,CHI,G,158.1,138.47,-,146.4,189.5,-,0.04,,,21
Dwight Howard,FA,C,164,138.64,-,-,189.4,-,0.06,,,21
Duncan Robinson,MIA,F,143,138.68,146.54,139.8,147.1,-,0.1,,,21
Jae Crowder,MIL,F,145.3,138.7,146.96,123.6,172,-,0.11,,,21
Naz Reid,MIN,C,165.1,138.78,-,-,191.4,-,0.46,,,21
Daniel Theis,IND,C,161.1,138.78,-,-,183.4,-,0.13,,,21
Bol Bol,PHO,F,165.4,138.83,-,-,191.9,-,0.07,,,21
De'Andre Hunter,ATL,F,128,138.85,111.44,143.5,118.4,-,0.07,,,21
Goran Dragic,FA,G,140.1,138.87,118.9,-,162.6,-,0.13,,,21
Klay Thompson,GSW,G,94.1,139.02,93.62,77,66.6,-,-1.0,,,21
Jeremy Lamb,FA,G,165.3,139.06,-,-,191.6,-,0.12,,,21
Gary Trent,TOR,G,134.4,139.13,136.1,123.7,138.6,-,0.07,,,21
Ivica Zubac,LAC,C,137.8,139.13,146.57,110.9,154.7,-,0.11,,,21
Dwyane Wade,FA,G,139.1,139.14,-,-,-,-,0.02,,,21
Eric Gordon,PHO,G,159.3,139.19,147.35,-,191.3,-,0.17,,,21
Rudy Gay,FA,F,165.6,139.21,-,-,191.9,-,0.13,,,21
