Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
Nassir Little,POR,F,139.9,139.9,-,-,-,-,-1.0,,,21
Kira Lewis,NOP,G,165.9,139.91,-,-,191.9,-,-1.0,,,21
Didi Louzada,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Tyler Johnson,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Sonny Weems,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Josh McRoberts,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
Axel Toupane,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
DeMarre Carroll,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
Shaun Livingston,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Grant Riller,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Festus Ezeli,FA,C,139.9,139.91,-,-,-,-,-1.0,,,21
Rondae Hollis-Jefferson,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
Andre Roberson,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Bryce Cotton,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Kadeem Allen,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Damien Inglis,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
P.J. Dozier,FA,G,166,139.91,-,-,192,-,-1.0,,,21
Devon Hall,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
JP Tokoto,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Chris Clemons,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
De'Anthony Melton,PHI,G,151.6,139.91,-,140.7,174.1,-,0.11,,,21
Harry Giles,BKN,C,139.9,139.91,-,-,-,-,-1.0,,,21
D.J. Wilson,FA,C,139.9,139.91,-,-,-,-,-1.0,,,21
Jorge Gutierrez,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Jalen Lecque,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Terrance Ferguson,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
Mike Tobey,FA,C,139.9,139.91,-,-,-,-,-1.0,,,21
Abdel Nader,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
Henry Ellenson,FA,F,139.9,139.91,-,-,-,-,0.01,,,21
Timofey Mozgov,FA,C,139.9,139.91,-,-,-,-,-1.0,,,21
Kelan Martin,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
Isaiah Joe,OKC,G,139.9,139.91,-,-,-,-,-1.0,,,21
Juancho Hernangomez,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
Dee Bost,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Will Magnay,FA,C,139.9,139.92,-,-,-,-,-1.0,,,21
Zach Norvell,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
O.J. Mayo,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Marcus Thornton,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Mario Chalmers,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Nikola Radicevic,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Jamil Wilson,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
Vince Hunter,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
Jawun Evans,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
E'Twaun Moore,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Danuel House,PHI,F,165.9,139.92,-,-,191.9,-,0.06,,,21
Amile Jefferson,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
Marcus Thornton,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Tony Bradley,FA,C,166,139.92,-,-,192,-,-1.0,,,21
Romeo Langford,UTA,F,139.9,139.92,-,-,-,-,-1.0,,,21
Trevon Duval,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Patrick Patterson,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
Jason Thompson,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
Al Jefferson,FA,C,139.9,139.92,-,-,-,-,-1.0,,,21
Ky Bowman,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
Trevor Booker,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
Jacob Pullen,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Svi Mykhailiuk,BOS,G,139.9,139.93,-,-,-,-,-1.0,,,21
Luke Kornet,BOS,C,139.9,139.93,-,-,-,-,-1.0,,,21
Jared Harper,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Jarrett Jack,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Trent Forrest,ATL,G,139.9,139.93,-,-,-,-,-1.0,,,21
Rodney McGruder,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Facundo Campazzo,FA,G,165.8,139.93,-,-,191.6,-,0.01,,,21
Bryn Forbes,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Mario Hezonja,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Dwight Powell,DAL,C,165.9,139.93,-,-,191.9,-,-1.0,,,21
Terence Davis,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Miye Oni,ORL,G,139.9,139.93,-,-,-,-,-1.0,,,21
Jerome Robinson,GSW,G,139.9,139.93,-,-,-,-,-1.0,,,21
Cory Jefferson,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Daniel Oturu,FA,C,139.9,139.93,-,-,-,-,-1.0,,,21
Tony Parker,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Markelle Fultz,ORL,G,157,139.93,150.86,147.9,189.5,-,-1.0,,,21
Paul Watson,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Raymond Felton,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Terance Mann,LAC,G,145.9,139.93,153.03,-,144.8,-,0.01,,,21
Alec Brown,FA,C,139.9,139.93,-,-,-,-,-1.0,,,21
J.J. Barea,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Jake Layman,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Udonis Haslem,FA,C,139.9,139.93,-,-,-,-,-1.0,,,21
Justin Jackson,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Edmond Sumner,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Rodney Purvis,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Devontae Cacok,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Kevin Love,MIA,F,148.2,139.93,131.23,134.5,187.2,-,0.04,,,21
Pierre Jackson,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Damian Jones,CLE,C,138.7,139.93,-,137.4,-,-,-1.0,,,21
Tyreke Evans,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Tyson Chandler,FA,C,139.9,139.93,-,-,-,-,-1.0,,,21
Chasson Randle,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
Hollis Thompson,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Kyle Singler,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
Jaden McDaniels,MIN,F,153,139.94,155.58,146.4,170.2,-,-1.0,,,21
CJ Elleby,FA,F,139.9,139.94,-,-,-,-,-1.0,,,21
Tyrell Terry,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Steve Novak,FA,F,139.9,139.94,-,-,-,-,-1.0,,,21
Tyrone Wallace,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Tayshaun Prince,FA,F,139.9,139.94,-,-,-,-,-1.0,,,21
Justin James,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Mike James,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Jason Terry,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Pau Gasol,FA,C,139.9,139.94,-,-,-,-,-1.0,,,21
Ryan Arcidiacono,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Markus Howard,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Marquis Teague,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Lorenzo Brown,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Phil Pressey,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Tim Frazier,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
Trey Lyles,SAC,F,140,139.95,-,-,-,-,-1.0,,,21
Louis Labeyrie,FA,F,140,139.95,-,-,-,-,-1.0,,,21
Chuma Okeke,ORL,F,155.3,139.95,156.63,152.3,172.2,-,-1.0,,,21
Gary Payton,GSW,G,136.7,139.95,-,133.4,-,-,-1.0,,,21
Patrick McCaw,FA,F,140,139.95,-,-,-,-,-1.0,,,21
Quincy Pondexter,FA,F,140,139.95,-,-,-,-,-1.0,,,21
Chuck Hayes,FA,C,140,139.95,-,-,-,-,-1.0,,,21
Walter Tavares,FA,C,140,139.95,-,-,-,-,-1.0,,,21
Mychal Mulder,FA,G,140,139.95,-,-,-,-,-1.0,,,21
Frank Jackson,FA,G,140,139.95,-,-,-,-,-1.0,,,21
Tony Snell,FA,F,140,139.95,-,-,-,-,-1.0,,,21
Patrick Christopher,FA,G,140,139.95,-,-,-,-,-1.0,,,21
Isaiah Hartenstein,NYK,C,139.6,139.95,-,139.3,-,-,-1.0,,,21
Kyle Korver,FA,G,140,139.95,-,-,-,-,-1.0,,,21
Tibor Pleiss,FA,C,140,139.95,-,-,-,-,-1.0,,,21
Alec Peters,FA,F,140,139.95,-,-,-,-,-1.0,,,21
Karim Mane,FA,G,140,139.95,-,-,-,-,-1.0,,,21
Zaza Pachulia,FA,C,140,139.95,-,-,-,-,0.01,,,21
Tomas Satoransky,FA,G,140,139.95,-,-,-,-,0.07,,,21
D.J. Stephens,FA,F,140,139.95,-,-,-,-,-1.0,,,21
Jared Sullinger,FA,F,140,139.95,-,-,-,-,-1.0,,,21
Jaxson Hayes,LAL,C,165.9,139.95,-,-,191.8,-,-1.0,,,21
Jordan Nwora,IND,F,165.5,139.96,-,-,191,-,-1.0,,,21
Joakim Noah,FA,C,140,139.96,-,-,-,-,-1.0,,,21
Reggie Perry,FA,C,140,139.96,-,-,-,-,-1.0,,,21
Mfiondu Kabengele,FA,C,140,139.96,-,-,-,-,-1.0,,,21
Luis Scola,FA,F,140,139.96,-,-,-,-,-1.0,,,21
Jacob Wiley,FA,F,140,139.96,-,-,-,-,-1.0,,,21
Bruno Caboclo,FA,F,140,139.96,-,-,-,-,-1.0,,,21
Chris Johnson,FA,F,140,139.96,-,-,-,-,-1.0,,,21
Derrick Favors,FA,C,165.8,139.96,-,-,191.7,-,0.07,,,21
Julyan Stone,FA,G,140,139.96,-,-,-,-,-1.0,,,21
Mitch McGary,FA,F,140,139.96,-,-,-,-,-1.0,,,21
Avery Bradley,FA,G,140,139.96,-,-,-,-,-1.0,,,21
Andrew Bogut,FA,C,140,139.96,-,-,-,-,-1.0,,,21
Chris Silva,FA,C,140,139.96,-,-,-,-,-1.0,,,21
Lamar Stevens,FA,F,140,139.96,-,-,-,-,-1.0,,,21
Tony Carr,FA,G,140,139.96,-,-,-,-,-1.0,,,21
Shayne Whittington,FA,C,140,139.96,-,-,-,-,-1.0,,,21
Javonte Green,FA,F,158.7,139.96,-,144.7,191.5,-,-1.0,,,21
Adreian Payne,FA,F,140,139.96,-,-,-,-,-1.0,,,21
Nick Young,FA,G,140,139.96,-,-,-,-,-1.0,,,21
Shaquille Harrison,MEM,G,140,139.96,-,-,-,-,-1.0,,,21
Brandon Paul,FA,G,140,139.96,-,-,-,-,-1.0,,,21
Chimezie Metu,PHO,C,140,139.96,-,-,-,-,-1.0,,,21
Greg Whittington,FA,F,140,139.96,-,-,-,-,-1.0,,,21
Vit Krejci,FA,G,140,139.96,-,-,-,-,-1.0,,,21
Alex Stepheson,FA,F,140,139.97,-,-,-,-,-1.0,,,21
DeVaughn Akoon-Purcell,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Luol Deng,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Derrick Walton,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Brandon Jennings,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Marquese Chriss,FA,C,140,139.97,-,-,-,-,-1.0,,,21
Tiago Splitter,FA,C,140,139.97,-,-,-,-,-1.0,,,21
James McAdoo,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Michael Beasley,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Lamar Patterson,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Isaiah Briscoe,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Mitch Creek,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Jeremy Pargo,FA,G,140,139.97,-,-,-,-,-1.0,,,21
KZ Okpala,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Onyeka Okongwu,ATL,C,154.1,139.97,-,130.2,192,-,-1.0,,,21
Cole Anthony,ORL,G,125.7,139.97,90.04,129.7,143.2,-,0.06,,,21
Aaron White,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Sasha Kaun,FA,C,140,139.97,-,-,-,-,-1.0,,,21
Damyean Dotson,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Juan Toscano-Anderson,FA,F,165.9,139.97,-,-,191.9,-,-1.0,,,21
Russ Smith,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Justin Jackson,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Jimmer Fredette,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Deonte Burton,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Kirk Hinrich,FA,G,140,139.97,-,-,-,-,-1.0,,,21
Josh Smith,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Jordan Bell,FA,C,140,139.97,-,-,-,-,-1.0,,,21
Anzejs Pasecniks,FA,C,140,139.97,-,-,-,-,-1.0,,,21
Theo Pinson,FA,G,140,139.97,-,-,-,-,-1.0,,,21
David West,FA,F,140,139.97,-,-,-,-,-1.0,,,21
Jonathan Isaac,ORL,F,136.9,139.98,135.12,132,140.6,-,-1.0,,,21
Maurice Harkless,FA,F,140,139.98,-,-,-,-,-1.0,,,21
Marcus Paige,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Keita Bates-Diop,PHO,F,140,139.98,-,-,-,-,-1.0,,,21
Omer Asik,FA,C,140,139.98,-,-,-,-,-1.0,,,21
Johnathan Williams,FA,C,140,139.98,-,-,-,-,-1.0,,,21
Justin Patton,FA,C,140,139.98,-,-,-,-,-1.0,,,21
Kostas Papanikolaou,FA,F,140,139.98,-,-,-,-,-1.0,,,21
Emmanuel Mudiay,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Alen Smailagic,FA,F,140,139.98,-,-,-,-,-1.0,,,21
Glenn Robinson,FA,F,140,139.98,-,-,-,-,-1.0,,,21
Jaylen Nowell,FA,G,140,139.98,-,-,-,-,-1.0,,,21
JJ Redick,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Donald Sloan,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Guerschon Yabusele,FA,F,140,139.98,-,-,-,-,-1.0,,,21
Deividas Sirvydis,FA,F,140,139.98,-,-,-,-,-1.0,,,21
Luc Mbah a Moute,FA,F,140,139.98,-,-,-,-,-1.0,,,21
Briante Weber,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Jordan McRae,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Tony Allen,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Chinanu Onuaku,FA,C,140,139.98,-,-,-,-,-1.0,,,21
Arinze Onuaku,FA,C,140,139.98,-,-,-,-,-1.0,,,21
Markieff Morris,DAL,F,140,139.98,-,-,-,-,-1.0,,,21
James Webb,FA,F,140,139.98,-,-,-,-,-1.0,,,21
B.J. Johnson,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Tremont Waters,FA,G,140,139.98,-,-,-,-,-1.0,,,21
Gian Clavell,FA,G,140,139.99,-,-,-,-,-1.0,,,21
Chris Bosh,FA,F,140,139.99,-,-,-,-,0.01,,,21
Xavier Silas,FA,G,140,139.99,-,-,-,-,-1.0,,,21
Furkan Aldemir,FA,F,140,139.99,-,-,-,-,-1.0,,,21
Jarred Vanderbilt,LAL,F,155.5,139.99,-,134.6,191.8,-,-1.0,,,21
Daniel Gafford,WAS,C,131.5,139.99,136.73,145.5,103.6,-,-1.0,,,21
Skylar Mays,FA,G,140,139.99,-,-,-,-,-1.0,,,21
Jay Scrubb,BOS,G,166,139.99,-,-,192,-,-1.0,,,21
Frank Mason,FA,G,140,139.99,-,-,-,-,-1.0,,,21
Reggie Jackson,DEN,G,122.1,139.99,108.34,122.8,117.4,-,0.06,,,21
Marial Shayok,FA,G,140,139.99,-,-,-,-,-1.0,,,21
Travis Wear,FA,F,140,139.99,-,-,-,-,-1.0,,,21
Daniel Ochefu,FA,C,140,139.99,-,-,-,-,-1.0,,,21
Johnny O'Bryant,FA,F,140,139.99,-,-,-,-,-1.0,,,21
David Wear,FA,F,140,140,-,-,-,-,-1.0,,,21
Admiral Schofield,ORL,F,140,140,-,-,-,-,-1.0,,,21
Luka Samanic,UTA,F,140,140,-,-,-,-,-1.0,,,21
Damion Lee,PHO,G,140,140,-,-,-,-,0.02,,,21
C.J. Watson,FA,G,140,140,-,-,-,-,-1.0,,,21
Dion Waiters,FA,G,140,140,-,-,-,-,-1.0,,,21
Lance Thomas,FA,F,140,140,-,-,-,-,-1.0,,,21
Anthony Morrow,FA,G,140,140,-,-,-,-,-1.0,,,21
Toney Douglas,FA,G,140,140,-,-,-,-,-1.0,,,21
Ekpe Udoh,FA,C,140,140,-,-,-,-,-1.0,,,21
Ryan Hollins,FA,C,140,140,-,-,-,-,-1.0,,,21
Brandon Bass,FA,F,140,140,-,-,-,-,-1.0,,,21
Emeka Okafor,FA,C,140,140,-,-,-,-,-1.0,,,21
Sasha Vujacic,FA,G,140,140,-,-,-,-,-1.0,,,21
James Jones,FA,F,140,140,-,-,-,-,-1.0,,,21
Wilson Chandler,FA,F,165.9,140,-,-,191.7,-,-1.0,,,21
Mike Dunleavy,FA,F,140,140,-,-,-,-,-1.0,,,21
Darrell Arthur,FA,F,140,140,-,-,-,-,-1.0,,,21
Marreese Speights,FA,F,140,140,-,-,-,-,-1.0,,,21
Jarell Martin,FA,F,140,140,-,-,-,-,-1.0,,,21
Jordan Mickey,FA,F,140,140,-,-,-,-,-1.0,,,21
Sam Dekker,FA,F,140,140,-,-,-,-,-1.0,,,21
Branden Dawson,FA,F,140,140,-,-,-,-,-1.0,,,21
Olivier Hanlan,FA,G,140,140,-,-,-,-,-1.0,,,21
Satnam Singh Bhamara,FA,C,140,140,-,-,-,-,-1.0,,,21
Malcolm Miller,FA,F,140,140,-,-,-,-,-1.0,,,21
Wade Baldwin,FA,G,140,140,-,-,-,-,-1.0,,,21
Sim Bhullar,FA,C,140,140,-,-,-,-,-1.0,,,21
Eric Moreland,FA,F,140,140,-,-,-,-,-1.0,,,21
Dwight Buycks,FA,G,140,140,-,-,-,-,-1.0,,,21
Nik Stauskas,FA,G,140,140,-,-,-,-,-1.0,,,21
Ray McCallum,FA,G,140,140,-,-,-,-,-1.0,,,21
Mirza Teletovic,FA,F,140,140,-,-,-,-,-1.0,,,21
Sergey Karasev,FA,G,140,140,-,-,-,-,-1.0,,,21
Dewan Hernandez,FA,C,140,140,-,-,-,-,-1.0,,,21
Sekou Doumbouya,FA,F,140,140,-,-,-,-,-1.0,,,21
Tyler Cook,FA,F,140,140,-,-,-,-,-1.0,,,21
George King,FA,G,140,140,-,-,-,-,-1.0,,,21
J.P. Macura,FA,G,140,140,-,-,-,-,-1.0,,,21
Brandon Goodwin,FA,G,140,140,-,-,-,-,-1.0,,,21
Ivan Rabb,FA,C,140,140,-,-,-,-,-1.0,,,21
Bonzie Colson,FA,F,140,140,-,-,-,-,-1.0,,,21
Chandler Hutchison,FA,F,140,140,-,-,-,-,-1.0,,,21
David Michineau,FA,G,140,140,-,-,-,-,-1.0,,,21
Troy Williams,FA,F,140,140,-,-,-,-,-1.0,,,21
Sheldon Mac,FA,G,140,140,-,-,-,-,-1.0,,,21
Troy Caupain,FA,G,140,140,-,-,-,-,-1.0,,,21
Michael Cobbins,FA,F,140,140,-,-,-,-,-1.0,,,21
Sindarius Thornwell,FA,G,140,140,-,-,-,-,-1.0,,,21
Jaron Blossomgame,FA,F,140,140,-,-,-,-,-1.0,,,21
DaQuan Jeffries,NYK,F,140,140,-,-,-,-,-1.0,,,21
Devon Dotson,FA,G,140,140,-,-,-,-,-1.0,,,21
Nathan Knight,NYK,C,140,140,-,-,-,-,-1.0,,,21
Malcolm Delaney,FA,G,140,140,-,-,-,-,-1.0,,,21
Zach Collins,SAS,C,165.9,140,-,-,191.7,-,-1.0,,,21
Johnathan Motley,FA,C,140,140,-,-,-,-,-1.0,,,21
Eric Mika,FA,C,140,140,-,-,-,-,-1.0,,,21
Isaia Cordinier,FA,G,140,140,-,-,-,-,-1.0,,,21
Michael Gbinije,FA,G,140,140,-,-,-,-,-1.0,,,21
Diamond Stone,FA,C,140,140,-,-,-,-,-1.0,,,21
Trevon Bluiett,FA,F,140,140,-,-,-,-,-1.0,,,21
Emanuel Terry,FA,C,140,140,-,-,-,-,-1.0,,,21
Adam Mokoka,FA,G,140,140,-,-,-,-,-1.0,,,21
Ignas Brazdeikis,FA,F,140,140,-,-,-,-,-1.0,,,21
Drew Eubanks,PHO,C,166,140,-,-,192,-,-1.0,,,21
Jacob Evans,FA,G,140,140,-,-,-,-,-1.0,,,21
Kostas Antetokounmpo,FA,F,140,140,-,-,-,-,-1.0,,,21
Dzanan Musa,FA,F,165.8,140,-,-,191.6,-,-1.0,,,21
Wes Iwundu,FA,F,140,140,-,-,-,-,-1.0,,,21
Charles Cooke,FA,G,140,140,-,-,-,-,-1.0,,,21
London Perrantes,FA,G,140,140,-,-,-,-,-1.0,,,21
Erik McCree,FA,F,140,140,-,-,-,-,-1.0,,,21
Walter Lemon,FA,G,140,140,-,-,-,-,-1.0,,,21
Jarrell Brantley,FA,F,140,140,-,-,-,-,-1.0,,,21
Ty-Shon Alexander,FA,G,140,140,-,-,-,-,-1.0,,,21
Leandro Bolmaro,FA,G,140,140,-,-,-,-,-1.0,,,21
Anthony Gill,WAS,F,140,140,-,-,-,-,-1.0,,,21
Zeke Nnaji,DEN,F,140,140,-,-,-,-,-1.0,,,21
Kyle Guy,FA,G,140,140,-,-,-,-,-1.0,,,21
Roy Hibbert,FA,C,140,140,-,-,-,-,-1.0,,,21
Marco Belinelli,FA,G,140,140,-,-,-,-,-1.0,,,21
Arron Afflalo,FA,G,140,140,-,-,-,-,-1.0,,,21
Carl Landry,FA,F,140,140,-,-,-,-,-1.0,,,21
Anthony Tolliver,FA,F,140,140,-,-,-,-,-1.0,,,21
Nazr Mohammed,FA,C,140,140,-,-,-,-,-1.0,,,21
Caron Butler,FA,F,140,140,-,-,-,-,-1.0,,,21
Matt Bonner,FA,F,140,140,-,-,-,-,-1.0,,,21
Omri Casspi,FA,F,140,140,-,-,-,-,-1.0,,,21
Jodie Meeks,FA,G,140,140,-,-,-,-,-1.0,,,21
Cole Aldrich,FA,C,140,140,-,-,-,-,-1.0,,,21
Jeremy Evans,FA,F,140,140,-,-,-,-,-1.0,,,21
Shelvin Mack,FA,G,140,140,-,-,-,-,-1.0,,,21
Cory Joseph,GSW,G,140,140,-,-,-,-,-1.0,,,21
Greg Smith,FA,F,140,140,-,-,-,-,-1.0,,,21
Nikola Milutinov,FA,C,140,140,-,-,-,-,-1.0,,,21
Maurice Ndour,FA,F,140,140,-,-,-,-,-1.0,,,21
J.J. O'Brien,FA,F,140,140,-,-,-,-,-1.0,,,21
Jordan Sibert,FA,G,140,140,-,-,-,-,-1.0,,,21
Julian Washburn,FA,F,140,140,-,-,-,-,-1.0,,,21
Xavier Munford,FA,G,140,140,-,-,-,-,-1.0,,,21
Elijah Millsap,FA,G,140,140,-,-,-,-,-1.0,,,21
Rakeem Christmas,FA,F,140,140,-,-,-,-,-1.0,,,21
Treveon Graham,FA,F,140,140,-,-,-,-,-1.0,,,21
Thomas Robinson,FA,C,140,140,-,-,-,-,-1.0,,,21
Jordan Hamilton,FA,F,140,140,-,-,-,-,-1.0,,,21
Henry Sims,FA,C,140,140,-,-,-,-,-1.0,,,21
Ian Clark,FA,G,140,140,-,-,-,-,-1.0,,,21
James Nunnally,FA,F,140,140,-,-,-,-,-1.0,,,21
Troy Daniels,FA,G,140,140,-,-,-,-,-1.0,,,21
Semaj Christon,FA,G,140,140,-,-,-,-,-1.0,,,21
Cameron Bairstow,FA,F,140,140,-,-,-,-,-1.0,,,21
Alex Poythress,FA,F,140,140,-,-,-,-,-1.0,,,21
Reggie Hearn,FA,G,140,140,-,-,-,-,-1.0,,,21
Jalen Jones,FA,F,140,140,-,-,-,-,-1.0,,,21
Ike Anigbogu,FA,C,140,140,-,-,-,-,-1.0,,,21
Vlatko Cancar,DEN,F,140,140,-,-,-,-,-1.0,,,21
Tyler Cavanaugh,FA,F,140,140,-,-,-,-,-1.0,,,21
Mangok Mathiang,FA,C,140,140,-,-,-,-,-1.0,,,21
Tahjere McCall,FA,G,140,140,-,-,-,-,-1.0,,,21
Myke Henry,FA,F,140,140,-,-,-,-,-1.0,,,21
Jaylen Adams,FA,G,140,140,-,-,-,-,-1.0,,,21
Donte Grantham,FA,F,140,140,-,-,-,-,-1.0,,,21
Chris Chiozza,FA,G,140,140,-,-,-,-,-1.0,,,21
Ryan Broekhoff,FA,G,140,140,-,-,-,-,-1.0,,,21
Allonzo Trier,FA,G,140,140,-,-,-,-,-1.0,,,21
Malik Newman,FA,G,140,140,-,-,-,-,-1.0,,,21
Keljin Blevins,FA,F,140,140,-,-,-,-,-1.0,,,21
Justinian Jessup,FA,G,140,140,-,-,-,-,-1.0,,,21
Josh Green,DAL,F,140,140,-,-,-,-,-1.0,,,21
Brian Bowen,FA,F,140,140,-,-,-,-,-1.0,,,21
R.J. Hampton,FA,G,165.8,140,-,-,191.6,-,-1.0,,,21
Haywood Highsmith,MIA,F,140,140,-,-,-,-,-1.0,,,21
Leandro Barbosa,FA,G,140,140,-,-,-,-,-1.0,,,21
Chris Andersen,FA,C,140,140,-,-,-,-,-1.0,,,21
Drew Gooden,FA,F,140,140,-,-,-,-,-1.0,,,21
Marcin Gortat,FA,C,140,140,-,-,-,-,-1.0,,,21
Alan Anderson,FA,F,140,140,-,-,-,-,-1.0,,,21
Andrea Bargnani,FA,C,140,140,-,-,-,-,-1.0,,,21
Jordan Farmar,FA,G,140,140,-,-,-,-,-1.0,,,21
Bobby Brown,FA,G,140,140,-,-,-,-,-1.0,,,21
Ramon Sessions,FA,G,140,140,-,-,-,-,-1.0,,,21
Nikola Mirotic,FA,F,140,140,-,-,-,-,-1.0,,,21
Jon Leuer,FA,F,140,140,-,-,-,-,-1.0,,,21
DeAndre Liggins,FA,G,140,140,-,-,-,-,-1.0,,,21
Scotty Hopson,FA,G,140,140,-,-,-,-,-1.0,,,21
James Anderson,FA,G,140,140,-,-,-,-,-1.0,,,21
Greivis Vasquez,FA,G,140,140,-,-,-,-,-1.0,,,21
Brandon Knight,FA,G,140,140,-,-,-,-,-1.0,,,21
Gerald Henderson,FA,G,140,140,-,-,-,-,-1.0,,,21
Dante Cunningham,FA,F,140,140,-,-,-,-,-1.0,,,21
Alonzo Gee,FA,F,140,140,-,-,-,-,-1.0,,,21
Tyler Harvey,FA,G,140,140,-,-,-,-,-1.0,,,21
Darrun Hilliard,FA,G,140,140,-,-,-,-,-1.0,,,21
