,sci_name,c_name,dist,reprod,cons_status,length,weight,coords,avg_age,habitat
34,Homopus femoralis,"['Greater padloper, Karroo Tortoise ']","Republic of South Africa (E Cape Province, SW Orange Free State , SW Transvaal ?)

Type locality: ""Cradock,"" Cape Province, Republic of South Africa.  ",oviparous ,LC,4,NA,"-32.17839537960658, 25.65270869214639",80,savanna
35,Indotestudo elongata,"['Elongated Tortoise, Yellow-headed tortoise', 'G: Gelbkopf-Landschildkröte', 'Chinese: 缅甸陆龟 ']","Nepal, Bangladesh, Bhutan, NE India (Assam, Jalpaiguri, East Bengal, and Singhbhum in Bihar), Myanmar (= Burma), Laos, Thailand (incl. Phuket), Cambodia, Vietnam, W Malaysia, S China

Type locality: Arakan, Tenasserim, Myanmar (= Burma).  ",oviparous ,CR,12,7,"26.19210136530051, 88.24802405644647",50,deciduous forest
36,Indotestudo forstenii,"['Travancore Tortoise, Forsten’s Tortoise, Celebes Tortoise', 'F: Tortue De Tranvancore, Tortue Des Celèbes', 'S: Tortuga Marrón De La India', 'Indonesian: baning sulawes, kura kura hutan sulawesi ']","SW India (Karnataka, Kerala),
Indonesia (introduced on Celebes = Sulawesi and Halmahera)

Type locality: ""Gilolo"" (=Halmahera Island), Moluccas, Indonesia.  ",oviparous ,EN,10,6,"12.255104753458323, 76.18211719734711",30,island
37,Indotestudo travancorica,['Travancore Tortoise '],"SW India (Karnataka, Kerala),
Indonesia (introduced on Celebes = Sulawesi and Halmahera)

Type locality: near Trivandrum,Travancore Hills.  ",oviparous ,VU,13,9,"12.255104753458323, 76.18211719734711",30,deciduous forest
38,Kinixys belliana,"[""Bell’s Hingeback Tortoise, Bell's eastern hinged tortoise ""]","Angola, Burundi, Central African Republic, Democratic Republic of the Congo (Zaire: Katanga), Eritrea, Ethiopia, Kenya, Rwanda, Somalia, Republic of South Sudan (RSS), Sudan (Jumhūriyyat), Uganda, N Tanzania

Type locality: Unknown; ""bought at Humphrey's, West Africa"" according to label on type (fide KING & BURKE 1989)  ",oviparous ,LC,11.5,2.4,"-12.320087076892719, 17.415652043675994",20,savanna
39,Kinixys erosa,"['Serrated hinge-back tortoise, Eroded Hingeback Tortoise ']","Angola, Benin, Cameroon, Central African Republic, Democratic Republic of the Congo (Zaire; except in the north), Cote d'Ivoire (Ivory Coast), Equatorial Guinea, Gabon,
Gambia, Ghana, Guinea (Conakry), Liberia, Nigeria, Rwanda, Sierra Leone, Togo, Uganda, Zaire

Type locality: “Nord-Amerika”, “America septentrionali"" (in error)  ",oviparous ,NE,16,NA,"5.322278859617038, 11.698238867110108",10,tropical forest
40,Kinixys homeana,['Home’s Hingeback Tortoise '],"Liberia, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon,
Equatorial Guinea, N Democratic Republic of the Congo (Zaire) ?, Central African Republic, Republic of South Sudan (RSS)

Type locality: ""Africa occidentali""; Iverson (1986:160) incorrectly reports that the type locality was restricted to ""Cape Coast, Ashantee"" [Ghana] by Boulenger (1889:143).  ",oviparous ,VU,11.5,2.4,"6.730410932434444, -5.4511706811740686",60,tropical forest
41,Kinixys lobatsiana,['Lobatse Hingeback Tortoise '],"Republic of South Africa, SE Botswana.

Type locality: Lobatsi, South Africa  ", ,VU,6.5,NA,"-23.93372716383296, 26.640626509181267",60,tropical forest
42,Kinixys natalensis,['Natal Hingeback Tortoise '],"Republic of South Africa (W Zululand to Greytown, Natal)

Type locality: ""Tugela River valley. . .Tugela River. . . Dimane stream near Jameson Drift,"" Natal Prov., Republic of South Africa.  ",oviparous ,VU,6,2.7,"-27.74857826902235, 31.07976440950999",60,savanna
43,Kinixys spekii,"[""Speke’s Hinged-back tortoise, Speke's Hingeback Tortoise, savanna hingeback ""]","Angola, Botswana, Burundi, Democratic Republic of the Congo (Zaire: Katanga), Kenya, Malawi, Mozambique, Namibia (Caprivi), Rwanda,South Africa, Swaziland, Tanzania, Uganda, Zambia, Zimbabwe

Type locality: Central Africa (probably NW Tanzania fide BROADLEY & HOWELL 1991).  ",oviparous ,NE,7.5,2.4,"-7.167875612788444, 18.448366888659653",60,savanna
44,Malacochersus tornieri,"['Pancake Tortoise', 'G: Spaltenschildkröte ']","Kenya, Tanzania, Zambia (Chansa & Wagner 2006)

Type locality: ""bei Bussia [=Busisi] am Victoria Nyanza. . .,"" Tanzania.  ",oviparous Exhibits temperature‐dependent sex determination (TSD) fide Cornejo-Páramo et al 2020 (and references therein) ,CR,7,1,"-5.735607720886861, 34.1375515741854",30,desert
45,Manouria emys,"['Brown Tortoise', 'G: Braune hinterindische Landschildkröte ']","India (Assam), Bangladesh,
Myanmar (= Burma), Tailand and Malaysia,
Indonesia (Sumatra, Borneo)

emys: S Tahiland, Malaysia, Sumatra, Borneo; Type locality: Sumatra

phayrei: N/W Thailand to NE India; Type locality: Arakan; Tenasserim Provinces’.  ",oviparous ,CR,21,55,"16.28549272630782, 99.6476140796679",150,tropical forest
